Product Code (SKU),Product Name / Category,Size / Variant,Upper Dia (in.),Depth / Height (in.),Other Dimension (in.),Cost Price,Notes
ST_01,Serving Tray,,10,2.0,,320,Available in different colours & sizes
ST_02,Serving Tray,,10,3.0,,320,Available in different colours & sizes
ST_03,Serving Tray,,11,2.5,,280,Available in different colours
SL_01,Multipurpose Storage Basket / Roti Box,Small (S),8,3.5,,440,Available in different colours & sizes
SL_01,Multipurpose Storage Basket / Roti Box,Medium (M),10,4.5,,480,Available in different colours & sizes
SL_01,Multipurpose Storage Basket / Roti Box,Large (L),12,5.5,,520,Available in different colours & sizes
SL_02,Multipurpose Storage Basket / Roti Box,Small (S),8,6.5,,400,Available in different colours & sizes
SL_02,Multipurpose Storage Basket / Roti Box,Medium (M),10,7.5,,440,Available in different colours & sizes
SL_02,Multipurpose Storage Basket / Roti Box,Large (L),12,8.5,,480,Available in different colours & sizes
SL_05,Multipurpose Storage Basket / Roti Box,Small (S),8,4,,440,Available in different colours & sizes
SL_05,Multipurpose Storage Basket / Roti Box,Medium (M),10,5,,480,Available in different colours & sizes
SL_05,Multipurpose Storage Basket / Roti Box,Large (L),12,6,,520,Available in different colours & sizes
SL_06,Multipurpose Basket / Gift Box,,10,6.0,,440,Available in different colours & sizes
SL_07,Multipurpose Storage Basket / Roti Box,Small (S),8,6.5,,440,Available in different colours & sizes
SL_07,Multipurpose Storage Basket / Roti Box,Medium (M),10,7.5,,480,Available in different colours & sizes
SL_07,Multipurpose Storage Basket / Roti Box,Large (L),12,8.5,,520,Available in different colours & sizes
SL_08,Multipurpose Storage Basket,Small (S),8,3.5,,440,With handle & lid; available in different colours & sizes
SL_08,Multipurpose Storage Basket,Medium (M),10,4.5,,480,With handle & lid; available in different colours & sizes
SL_08,Multipurpose Storage Basket,Large (L),12,5.5,,520,With handle & lid; available in different colours & sizes
SL_09,Large Laundry Basket,,11,12.0,"Base: 9""",1200,Available in different colours & sizes
SL_10,Multipurpose Storage Basket / Roti Box,Small (S),8,6.5,,440,Available in different colours & sizes
SL_10,Multipurpose Storage Basket / Roti Box,Medium (M),10,7.5,,480,Available in different colours & sizes
SL_10,Multipurpose Storage Basket / Roti Box,Large (L),12,8.5,,520,Available in different colours & sizes
TC_01,Cup Coaster (Set of 6 with holder),,3.5,0.5,,360,Includes woven holder basket; available in different colours
BK_02,Plain Fruit Basket,,10,6.0,,280,Available in different colours & sizes
BK_03,Plain Fruit Basket,,10,6.0,,280,Available in different colours & sizes
BK_04,Fruit Basket,,10,5.2,,280,Available in different colours & sizes
BK_05,Fruit Basket,,10,4.5,,280,Available in different colours & sizes
DK_02,Stationery / Pen Stand,,5,3.5,,200,Available in different colours & sizes
DK_03,Stationery / Pen Stand,,4,5.0,,200,Available in different colours & sizes
LB_01,Small Laundry Basket,,11,10.0,"Base: 9""",1200,Available in different colours & sizes
LB_02,Large Laundry Basket,,16,15.0,"Base: 14""",1200,Available in different colours & sizes
LB_03,Container (with Lid),Medium (M),14,14,"14"" × 14""",1200,Available in different colours & sizes
LB_03,Container (with Lid),Large (L),16,16,"16"" × 16""",1200,Available in different colours & sizes
LB_04,Large Laundry Basket,,16,15.0,"Base: 14""",1200,Available in different colours & sizes
LB_05,Medium Laundry Basket,,14,13.0,"Base: 12""",1200,Available in different colours & sizes
